Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
22.01.1979;00:00:00;---;fehlend
23.01.1979;00:00:00;---;fehlend
24.01.1979;00:00:00;---;fehlend
25.01.1979;00:00:00;---;fehlend
26.01.1979;00:00:00;---;fehlend
27.01.1979;00:00:00;---;fehlend
28.01.1979;00:00:00;---;fehlend
29.01.1979;00:00:00;---;fehlend
30.01.1979;00:00:00;---;fehlend
31.01.1979;00:00:00;---;fehlend
01.02.1979;00:00:00;---;fehlend
02.02.1979;00:00:00;---;fehlend
03.02.1979;00:00:00;---;fehlend
04.02.1979;00:00:00;---;fehlend
05.02.1979;00:00:00;---;fehlend
06.02.1979;00:00:00;---;fehlend
07.02.1979;00:00:00;---;fehlend
08.02.1979;00:00:00;---;fehlend
09.02.1979;00:00:00;---;fehlend
10.02.1979;00:00:00;---;fehlend
11.02.1979;00:00:00;---;fehlend
12.02.1979;00:00:00;---;fehlend
13.02.1979;00:00:00;---;fehlend
14.02.1979;00:00:00;---;fehlend
15.02.1979;00:00:00;---;fehlend
16.02.1979;00:00:00;---;fehlend
17.02.1979;00:00:00;---;fehlend
18.02.1979;00:00:00;---;fehlend
19.02.1979;00:00:00;---;fehlend
20.02.1979;00:00:00;---;fehlend
21.02.1979;00:00:00;---;fehlend
22.02.1979;00:00:00;---;fehlend
23.02.1979;00:00:00;---;fehlend
24.02.1979;00:00:00;---;fehlend
25.02.1979;00:00:00;---;fehlend
26.02.1979;00:00:00;---;fehlend
27.02.1979;00:00:00;---;fehlend
28.02.1979;00:00:00;---;fehlend
01.03.1979;00:00:00;---;fehlend
02.03.1979;00:00:00;---;fehlend
03.03.1979;00:00:00;---;fehlend
04.03.1979;00:00:00;---;fehlend
05.03.1979;00:00:00;---;fehlend
06.03.1979;00:00:00;---;fehlend
07.03.1979;00:00:00;---;fehlend
08.03.1979;00:00:00;---;fehlend
09.03.1979;00:00:00;---;fehlend
10.03.1979;00:00:00;---;fehlend
11.03.1979;00:00:00;---;fehlend
12.03.1979;00:00:00;---;fehlend
13.03.1979;00:00:00;---;fehlend
14.03.1979;00:00:00;---;fehlend
15.03.1979;00:00:00;---;fehlend
16.03.1979;00:00:00;---;fehlend
17.03.1979;00:00:00;---;fehlend
18.03.1979;00:00:00;---;fehlend
19.03.1979;00:00:00;---;fehlend
20.03.1979;00:00:00;---;fehlend
21.03.1979;00:00:00;---;fehlend
22.03.1979;00:00:00;---;fehlend
23.03.1979;00:00:00;---;fehlend
24.03.1979;00:00:00;---;fehlend
25.03.1979;00:00:00;---;fehlend
26.03.1979;00:00:00;---;fehlend
27.03.1979;00:00:00;---;fehlend
28.03.1979;00:00:00;---;fehlend
29.03.1979;00:00:00;---;fehlend
30.03.1979;00:00:00;---;fehlend
31.03.1979;00:00:00;---;fehlend
01.04.1979;00:00:00;---;fehlend
02.04.1979;00:00:00;---;fehlend
03.04.1979;00:00:00;---;fehlend
04.04.1979;00:00:00;---;fehlend
05.04.1979;00:00:00;---;fehlend
06.04.1979;00:00:00;---;fehlend
07.04.1979;00:00:00;---;fehlend
08.04.1979;00:00:00;---;fehlend
09.04.1979;00:00:00;---;fehlend
10.04.1979;00:00:00;---;fehlend
11.04.1979;00:00:00;---;fehlend
12.04.1979;00:00:00;---;fehlend
13.04.1979;00:00:00;---;fehlend
14.04.1979;00:00:00;---;fehlend
15.04.1979;00:00:00;---;fehlend
16.04.1979;00:00:00;---;fehlend
17.04.1979;00:00:00;---;fehlend
18.04.1979;00:00:00;---;fehlend
19.04.1979;00:00:00;---;fehlend
20.04.1979;00:00:00;---;fehlend
21.04.1979;00:00:00;---;fehlend
22.04.1979;00:00:00;---;fehlend
23.04.1979;00:00:00;---;fehlend
24.04.1979;00:00:00;---;fehlend
25.04.1979;00:00:00;---;fehlend
26.04.1979;00:00:00;---;fehlend
27.04.1979;00:00:00;---;fehlend
28.04.1979;00:00:00;---;fehlend
29.04.1979;00:00:00;---;fehlend
30.04.1979;00:00:00;---;fehlend
01.05.1979;00:00:00;---;fehlend
02.05.1979;00:00:00;---;fehlend
03.05.1979;00:00:00;---;fehlend
04.05.1979;00:00:00;---;fehlend
05.05.1979;00:00:00;---;fehlend
06.05.1979;00:00:00;---;fehlend
07.05.1979;00:00:00;---;fehlend
08.05.1979;00:00:00;---;fehlend
09.05.1979;00:00:00;---;fehlend
10.05.1979;00:00:00;---;fehlend
11.05.1979;00:00:00;---;fehlend
12.05.1979;00:00:00;---;fehlend
13.05.1979;00:00:00;---;fehlend
14.05.1979;00:00:00;---;fehlend
15.05.1979;00:00:00;---;fehlend
16.05.1979;00:00:00;---;fehlend
17.05.1979;00:00:00;---;fehlend
18.05.1979;00:00:00;---;fehlend
19.05.1979;00:00:00;---;fehlend
20.05.1979;00:00:00;---;fehlend
21.05.1979;00:00:00;---;fehlend
22.05.1979;00:00:00;---;fehlend
23.05.1979;00:00:00;---;fehlend
24.05.1979;00:00:00;---;fehlend
25.05.1979;00:00:00;---;fehlend
26.05.1979;00:00:00;---;fehlend
27.05.1979;00:00:00;---;fehlend
28.05.1979;00:00:00;---;fehlend
29.05.1979;00:00:00;---;fehlend
30.05.1979;00:00:00;---;fehlend
31.05.1979;00:00:00;---;fehlend
01.06.1979;00:00:00;---;fehlend
02.06.1979;00:00:00;---;fehlend
03.06.1979;00:00:00;---;fehlend
04.06.1979;00:00:00;---;fehlend
05.06.1979;00:00:00;---;fehlend
06.06.1979;00:00:00;---;fehlend
07.06.1979;00:00:00;---;fehlend
08.06.1979;00:00:00;---;fehlend
09.06.1979;00:00:00;---;fehlend
10.06.1979;00:00:00;---;fehlend
11.06.1979;00:00:00;---;fehlend
12.06.1979;00:00:00;---;fehlend
13.06.1979;00:00:00;---;fehlend
14.06.1979;00:00:00;---;fehlend
15.06.1979;00:00:00;---;fehlend
16.06.1979;00:00:00;---;fehlend
17.06.1979;00:00:00;---;fehlend
18.06.1979;00:00:00;---;fehlend
19.06.1979;00:00:00;---;fehlend
20.06.1979;00:00:00;---;fehlend
21.06.1979;00:00:00;---;fehlend
22.06.1979;00:00:00;---;fehlend
23.06.1979;00:00:00;---;fehlend
24.06.1979;00:00:00;---;fehlend
25.06.1979;00:00:00;---;fehlend
26.06.1979;00:00:00;---;fehlend
27.06.1979;00:00:00;---;fehlend
28.06.1979;00:00:00;---;fehlend
29.06.1979;00:00:00;---;fehlend
30.06.1979;00:00:00;---;fehlend
01.07.1979;00:00:00;212;Genügend
02.07.1979;00:00:00;212;Genügend
03.07.1979;00:00:00;212;Genügend
04.07.1979;00:00:00;212;Genügend
05.07.1979;00:00:00;215;Genügend
06.07.1979;00:00:00;215;Genügend
07.07.1979;00:00:00;210;Genügend
08.07.1979;00:00:00;220;Genügend
09.07.1979;00:00:00;216;Genügend
10.07.1979;00:00:00;216;Genügend
11.07.1979;00:00:00;212;Genügend
12.07.1979;00:00:00;216;Genügend
13.07.1979;00:00:00;212;Genügend
14.07.1979;00:00:00;212;Genügend
15.07.1979;00:00:00;216;Genügend
16.07.1979;00:00:00;214;Genügend
17.07.1979;00:00:00;216;Genügend
18.07.1979;00:00:00;216;Genügend
19.07.1979;00:00:00;218;Genügend
20.07.1979;00:00:00;218;Genügend
21.07.1979;00:00:00;222;Genügend
22.07.1979;00:00:00;220;Genügend
23.07.1979;00:00:00;218;Genügend
24.07.1979;00:00:00;212;Genügend
25.07.1979;00:00:00;210;Genügend
26.07.1979;00:00:00;216;Genügend
27.07.1979;00:00:00;214;Genügend
28.07.1979;00:00:00;212;Genügend
29.07.1979;00:00:00;214;Genügend
30.07.1979;00:00:00;218;Genügend
31.07.1979;00:00:00;218;Genügend
01.08.1979;00:00:00;215;Genügend
02.08.1979;00:00:00;212;Genügend
03.08.1979;00:00:00;212;Genügend
04.08.1979;00:00:00;214;Genügend
05.08.1979;00:00:00;214;Genügend
06.08.1979;00:00:00;210;Genügend
07.08.1979;00:00:00;210;Genügend
08.08.1979;00:00:00;216;Genügend
09.08.1979;00:00:00;214;Genügend
10.08.1979;00:00:00;216;Genügend
11.08.1979;00:00:00;216;Genügend
12.08.1979;00:00:00;214;Genügend
13.08.1979;00:00:00;218;Genügend
14.08.1979;00:00:00;218;Genügend
15.08.1979;00:00:00;218;Genügend
16.08.1979;00:00:00;212;Genügend
17.08.1979;00:00:00;216;Genügend
18.08.1979;00:00:00;218;Genügend
19.08.1979;00:00:00;216;Genügend
20.08.1979;00:00:00;216;Genügend
21.08.1979;00:00:00;216;Genügend
22.08.1979;00:00:00;218;Genügend
23.08.1979;00:00:00;216;Genügend
24.08.1979;00:00:00;212;Genügend
25.08.1979;00:00:00;218;Genügend
26.08.1979;00:00:00;218;Genügend
27.08.1979;00:00:00;216;Genügend
28.08.1979;00:00:00;216;Genügend
29.08.1979;00:00:00;212;Genügend
30.08.1979;00:00:00;214;Genügend
31.08.1979;00:00:00;210;Genügend
01.09.1979;00:00:00;212;Genügend
02.09.1979;00:00:00;216;Genügend
03.09.1979;00:00:00;216;Genügend
04.09.1979;00:00:00;212;Genügend
05.09.1979;00:00:00;214;Genügend
06.09.1979;00:00:00;212;Genügend
07.09.1979;00:00:00;212;Genügend
08.09.1979;00:00:00;216;Genügend
09.09.1979;00:00:00;210;Genügend
10.09.1979;00:00:00;216;Genügend
11.09.1979;00:00:00;212;Genügend
12.09.1979;00:00:00;214;Genügend
13.09.1979;00:00:00;212;Genügend
14.09.1979;00:00:00;210;Genügend
15.09.1979;00:00:00;212;Genügend
16.09.1979;00:00:00;214;Genügend
17.09.1979;00:00:00;212;Genügend
18.09.1979;00:00:00;216;Genügend
19.09.1979;00:00:00;212;Genügend
20.09.1979;00:00:00;216;Genügend
21.09.1979;00:00:00;216;Genügend
22.09.1979;00:00:00;212;Genügend
23.09.1979;00:00:00;218;Genügend
24.09.1979;00:00:00;212;Genügend
25.09.1979;00:00:00;212;Genügend
26.09.1979;00:00:00;210;Genügend
27.09.1979;00:00:00;206;Genügend
28.09.1979;00:00:00;214;Genügend
29.09.1979;00:00:00;216;Genügend
30.09.1979;00:00:00;218;Genügend
01.10.1979;00:00:00;214;Genügend
02.10.1979;00:00:00;214;Genügend
03.10.1979;00:00:00;216;Genügend
04.10.1979;00:00:00;216;Genügend
05.10.1979;00:00:00;214;Genügend
06.10.1979;00:00:00;214;Genügend
07.10.1979;00:00:00;214;Genügend
08.10.1979;00:00:00;214;Genügend
09.10.1979;00:00:00;216;Genügend
10.10.1979;00:00:00;212;Genügend
11.10.1979;00:00:00;212;Genügend
12.10.1979;00:00:00;214;Genügend
13.10.1979;00:00:00;214;Genügend
14.10.1979;00:00:00;214;Genügend
15.10.1979;00:00:00;212;Genügend
16.10.1979;00:00:00;212;Genügend
17.10.1979;00:00:00;216;Genügend
18.10.1979;00:00:00;216;Genügend
19.10.1979;00:00:00;218;Genügend
20.10.1979;00:00:00;218;Genügend
21.10.1979;00:00:00;216;Genügend
22.10.1979;00:00:00;216;Genügend
23.10.1979;00:00:00;214;Genügend
24.10.1979;00:00:00;212;Genügend
25.10.1979;00:00:00;210;Genügend
26.10.1979;00:00:00;212;Genügend
27.10.1979;00:00:00;212;Genügend
28.10.1979;00:00:00;208;Genügend
29.10.1979;00:00:00;210;Genügend
30.10.1979;00:00:00;210;Genügend
31.10.1979;00:00:00;212;Genügend
01.11.1979;00:00:00;216;Genügend
02.11.1979;00:00:00;216;Genügend
03.11.1979;00:00:00;216;Genügend
04.11.1979;00:00:00;218;Genügend
05.11.1979;00:00:00;218;Genügend
06.11.1979;00:00:00;214;Genügend
07.11.1979;00:00:00;218;Genügend
08.11.1979;00:00:00;218;Genügend
09.11.1979;00:00:00;218;Genügend
10.11.1979;00:00:00;218;Genügend
11.11.1979;00:00:00;216;Genügend
12.11.1979;00:00:00;218;Genügend
13.11.1979;00:00:00;212;Genügend
14.11.1979;00:00:00;210;Genügend
15.11.1979;00:00:00;214;Genügend
16.11.1979;00:00:00;212;Genügend
17.11.1979;00:00:00;218;Genügend
18.11.1979;00:00:00;216;Genügend
19.11.1979;00:00:00;214;Genügend
20.11.1979;00:00:00;216;Genügend
21.11.1979;00:00:00;218;Genügend
22.11.1979;00:00:00;214;Genügend
23.11.1979;00:00:00;216;Genügend
24.11.1979;00:00:00;214;Genügend
25.11.1979;00:00:00;212;Genügend
26.11.1979;00:00:00;212;Genügend
27.11.1979;00:00:00;214;Genügend
28.11.1979;00:00:00;216;Genügend
29.11.1979;00:00:00;218;Genügend
30.11.1979;00:00:00;214;Genügend
01.12.1979;00:00:00;218;Genügend
02.12.1979;00:00:00;216;Genügend
03.12.1979;00:00:00;218;Genügend
04.12.1979;00:00:00;212;Genügend
05.12.1979;00:00:00;216;Genügend
06.12.1979;00:00:00;216;Genügend
07.12.1979;00:00:00;214;Genügend
08.12.1979;00:00:00;218;Genügend
09.12.1979;00:00:00;216;Genügend
10.12.1979;00:00:00;216;Genügend
11.12.1979;00:00:00;218;Genügend
12.12.1979;00:00:00;216;Genügend
13.12.1979;00:00:00;212;Genügend
14.12.1979;00:00:00;216;Genügend
15.12.1979;00:00:00;220;Genügend
16.12.1979;00:00:00;216;Genügend
17.12.1979;00:00:00;220;Genügend
18.12.1979;00:00:00;222;Genügend
19.12.1979;00:00:00;222;Genügend
20.12.1979;00:00:00;218;Genügend
21.12.1979;00:00:00;216;Genügend
22.12.1979;00:00:00;216;Genügend
23.12.1979;00:00:00;218;Genügend
24.12.1979;00:00:00;216;Genügend
25.12.1979;00:00:00;216;Genügend
26.12.1979;00:00:00;216;Genügend
27.12.1979;00:00:00;218;Genügend
28.12.1979;00:00:00;220;Genügend
29.12.1979;00:00:00;220;Genügend
30.12.1979;00:00:00;220;Genügend
31.12.1979;00:00:00;222;Genügend
01.01.1980;00:00:00;212;Genügend
02.01.1980;00:00:00;220;Genügend
03.01.1980;00:00:00;218;Genügend
04.01.1980;00:00:00;220;Genügend
05.01.1980;00:00:00;218;Genügend
06.01.1980;00:00:00;220;Genügend
07.01.1980;00:00:00;216;Genügend
08.01.1980;00:00:00;216;Genügend
09.01.1980;00:00:00;216;Genügend
10.01.1980;00:00:00;216;Genügend
11.01.1980;00:00:00;216;Genügend
12.01.1980;00:00:00;216;Genügend
13.01.1980;00:00:00;216;Genügend
14.01.1980;00:00:00;216;Genügend
15.01.1980;00:00:00;216;Genügend
16.01.1980;00:00:00;216;Genügend
17.01.1980;00:00:00;216;Genügend
18.01.1980;00:00:00;216;Genügend
19.01.1980;00:00:00;216;Genügend
20.01.1980;00:00:00;216;Genügend
21.01.1980;00:00:00;216;Genügend
22.01.1980;00:00:00;216;Genügend
23.01.1980;00:00:00;216;Genügend
24.01.1980;00:00:00;216;Genügend
25.01.1980;00:00:00;216;Genügend
26.01.1980;00:00:00;216;Genügend
27.01.1980;00:00:00;216;Genügend
28.01.1980;00:00:00;216;Genügend
29.01.1980;00:00:00;216;Genügend
30.01.1980;00:00:00;216;Genügend
31.01.1980;00:00:00;216;Genügend
01.02.1980;00:00:00;216;Genügend
02.02.1980;00:00:00;216;Genügend
03.02.1980;00:00:00;216;Genügend
04.02.1980;00:00:00;210;Genügend
05.02.1980;00:00:00;212;Genügend
06.02.1980;00:00:00;216;Genügend
07.02.1980;00:00:00;216;Genügend
08.02.1980;00:00:00;218;Genügend
09.02.1980;00:00:00;218;Genügend
10.02.1980;00:00:00;220;Genügend
11.02.1980;00:00:00;220;Genügend
12.02.1980;00:00:00;220;Genügend
13.02.1980;00:00:00;216;Genügend
14.02.1980;00:00:00;216;Genügend
15.02.1980;00:00:00;216;Genügend
16.02.1980;00:00:00;216;Genügend
17.02.1980;00:00:00;216;Genügend
18.02.1980;00:00:00;216;Genügend
19.02.1980;00:00:00;212;Genügend
20.02.1980;00:00:00;216;Genügend
21.02.1980;00:00:00;216;Genügend
22.02.1980;00:00:00;216;Genügend
23.02.1980;00:00:00;216;Genügend
24.02.1980;00:00:00;216;Genügend
25.02.1980;00:00:00;214;Genügend
26.02.1980;00:00:00;218;Genügend
27.02.1980;00:00:00;220;Genügend
28.02.1980;00:00:00;218;Genügend
29.02.1980;00:00:00;216;Genügend
01.03.1980;00:00:00;216;Genügend
02.03.1980;00:00:00;220;Genügend
03.03.1980;00:00:00;218;Genügend
04.03.1980;00:00:00;218;Genügend
05.03.1980;00:00:00;220;Genügend
06.03.1980;00:00:00;220;Genügend
07.03.1980;00:00:00;220;Genügend
08.03.1980;00:00:00;212;Genügend
09.03.1980;00:00:00;216;Genügend
10.03.1980;00:00:00;216;Genügend
11.03.1980;00:00:00;216;Genügend
12.03.1980;00:00:00;212;Genügend
13.03.1980;00:00:00;216;Genügend
14.03.1980;00:00:00;212;Genügend
15.03.1980;00:00:00;216;Genügend
16.03.1980;00:00:00;216;Genügend
17.03.1980;00:00:00;216;Genügend
18.03.1980;00:00:00;214;Genügend
19.03.1980;00:00:00;216;Genügend
20.03.1980;00:00:00;212;Genügend
21.03.1980;00:00:00;212;Genügend
22.03.1980;00:00:00;216;Genügend
23.03.1980;00:00:00;212;Genügend
24.03.1980;00:00:00;216;Genügend
25.03.1980;00:00:00;214;Genügend
26.03.1980;00:00:00;214;Genügend
27.03.1980;00:00:00;212;Genügend
28.03.1980;00:00:00;214;Genügend
29.03.1980;00:00:00;214;Genügend
30.03.1980;00:00:00;212;Genügend
31.03.1980;00:00:00;212;Genügend
01.04.1980;00:00:00;212;Genügend
02.04.1980;00:00:00;216;Genügend
03.04.1980;00:00:00;218;Genügend
04.04.1980;00:00:00;222;Genügend
05.04.1980;00:00:00;222;Genügend
06.04.1980;00:00:00;220;Genügend
07.04.1980;00:00:00;222;Genügend
08.04.1980;00:00:00;216;Genügend
09.04.1980;00:00:00;214;Genügend
10.04.1980;00:00:00;218;Genügend
11.04.1980;00:00:00;218;Genügend
12.04.1980;00:00:00;218;Genügend
13.04.1980;00:00:00;222;Genügend
14.04.1980;00:00:00;212;Genügend
15.04.1980;00:00:00;212;Genügend
16.04.1980;00:00:00;212;Genügend
17.04.1980;00:00:00;214;Genügend
18.04.1980;00:00:00;220;Genügend
19.04.1980;00:00:00;222;Genügend
20.04.1980;00:00:00;214;Genügend
21.04.1980;00:00:00;216;Genügend
22.04.1980;00:00:00;218;Genügend
23.04.1980;00:00:00;216;Genügend
24.04.1980;00:00:00;220;Genügend
25.04.1980;00:00:00;216;Genügend
26.04.1980;00:00:00;214;Genügend
27.04.1980;00:00:00;208;Genügend
28.04.1980;00:00:00;212;Genügend
29.04.1980;00:00:00;216;Genügend
30.04.1980;00:00:00;216;Genügend
01.05.1980;00:00:00;220;Genügend
02.05.1980;00:00:00;216;Genügend
03.05.1980;00:00:00;216;Genügend
04.05.1980;00:00:00;216;Genügend
05.05.1980;00:00:00;218;Genügend
06.05.1980;00:00:00;212;Genügend
07.05.1980;00:00:00;212;Genügend
08.05.1980;00:00:00;214;Genügend
09.05.1980;00:00:00;212;Genügend
10.05.1980;00:00:00;216;Genügend
11.05.1980;00:00:00;216;Genügend
12.05.1980;00:00:00;214;Genügend
13.05.1980;00:00:00;216;Genügend
14.05.1980;00:00:00;214;Genügend
15.05.1980;00:00:00;216;Genügend
16.05.1980;00:00:00;214;Genügend
17.05.1980;00:00:00;216;Genügend
18.05.1980;00:00:00;218;Genügend
19.05.1980;00:00:00;214;Genügend
20.05.1980;00:00:00;216;Genügend
21.05.1980;00:00:00;212;Genügend
22.05.1980;00:00:00;212;Genügend
23.05.1980;00:00:00;210;Genügend
24.05.1980;00:00:00;212;Genügend
25.05.1980;00:00:00;212;Genügend
26.05.1980;00:00:00;212;Genügend
27.05.1980;00:00:00;212;Genügend
28.05.1980;00:00:00;212;Genügend
29.05.1980;00:00:00;214;Genügend
30.05.1980;00:00:00;216;Genügend
31.05.1980;00:00:00;214;Genügend
01.06.1980;00:00:00;218;Genügend
02.06.1980;00:00:00;218;Genügend
03.06.1980;00:00:00;216;Genügend
04.06.1980;00:00:00;216;Genügend
05.06.1980;00:00:00;216;Genügend
06.06.1980;00:00:00;212;Genügend
07.06.1980;00:00:00;212;Genügend
08.06.1980;00:00:00;212;Genügend
09.06.1980;00:00:00;216;Genügend
10.06.1980;00:00:00;216;Genügend
11.06.1980;00:00:00;212;Genügend
12.06.1980;00:00:00;214;Genügend
13.06.1980;00:00:00;214;Genügend
14.06.1980;00:00:00;214;Genügend
15.06.1980;00:00:00;216;Genügend
16.06.1980;00:00:00;214;Genügend
17.06.1980;00:00:00;216;Genügend
18.06.1980;00:00:00;214;Genügend
19.06.1980;00:00:00;220;Genügend
20.06.1980;00:00:00;214;Genügend
21.06.1980;00:00:00;214;Genügend
22.06.1980;00:00:00;220;Genügend
23.06.1980;00:00:00;214;Genügend
24.06.1980;00:00:00;212;Genügend
25.06.1980;00:00:00;212;Genügend
26.06.1980;00:00:00;210;Genügend
27.06.1980;00:00:00;212;Genügend
28.06.1980;00:00:00;214;Genügend
29.06.1980;00:00:00;214;Genügend
30.06.1980;00:00:00;214;Genügend
01.07.1980;00:00:00;214;Genügend
02.07.1980;00:00:00;214;Genügend
03.07.1980;00:00:00;214;Genügend
04.07.1980;00:00:00;210;Genügend
05.07.1980;00:00:00;212;Genügend
06.07.1980;00:00:00;214;Genügend
07.07.1980;00:00:00;212;Genügend
08.07.1980;00:00:00;214;Genügend
09.07.1980;00:00:00;216;Genügend
10.07.1980;00:00:00;214;Genügend
11.07.1980;00:00:00;216;Genügend
12.07.1980;00:00:00;212;Genügend
13.07.1980;00:00:00;216;Genügend
14.07.1980;00:00:00;218;Genügend
15.07.1980;00:00:00;216;Genügend
16.07.1980;00:00:00;214;Genügend
17.07.1980;00:00:00;218;Genügend
18.07.1980;00:00:00;216;Genügend
19.07.1980;00:00:00;214;Genügend
20.07.1980;00:00:00;212;Genügend
21.07.1980;00:00:00;214;Genügend
22.07.1980;00:00:00;212;Genügend
23.07.1980;00:00:00;214;Genügend
24.07.1980;00:00:00;216;Genügend
25.07.1980;00:00:00;214;Genügend
26.07.1980;00:00:00;212;Genügend
27.07.1980;00:00:00;214;Genügend
28.07.1980;00:00:00;214;Genügend
29.07.1980;00:00:00;212;Genügend
30.07.1980;00:00:00;212;Genügend
31.07.1980;00:00:00;216;Genügend
01.08.1980;00:00:00;214;Genügend
02.08.1980;00:00:00;214;Genügend
03.08.1980;00:00:00;212;Genügend
04.08.1980;00:00:00;208;Genügend
05.08.1980;00:00:00;216;Genügend
06.08.1980;00:00:00;218;Genügend
07.08.1980;00:00:00;216;Genügend
08.08.1980;00:00:00;208;Genügend
09.08.1980;00:00:00;216;Genügend
10.08.1980;00:00:00;216;Genügend
11.08.1980;00:00:00;212;Genügend
12.08.1980;00:00:00;212;Genügend
13.08.1980;00:00:00;216;Genügend
14.08.1980;00:00:00;214;Genügend
15.08.1980;00:00:00;216;Genügend
16.08.1980;00:00:00;218;Genügend
17.08.1980;00:00:00;216;Genügend
18.08.1980;00:00:00;214;Genügend
19.08.1980;00:00:00;214;Genügend
20.08.1980;00:00:00;212;Genügend
21.08.1980;00:00:00;212;Genügend
22.08.1980;00:00:00;212;Genügend
23.08.1980;00:00:00;208;Genügend
24.08.1980;00:00:00;206;Genügend
25.08.1980;00:00:00;212;Genügend
26.08.1980;00:00:00;210;Genügend
27.08.1980;00:00:00;210;Genügend
28.08.1980;00:00:00;216;Genügend
29.08.1980;00:00:00;214;Genügend
30.08.1980;00:00:00;214;Genügend
31.08.1980;00:00:00;214;Genügend
01.09.1980;00:00:00;208;Genügend
02.09.1980;00:00:00;216;Genügend
03.09.1980;00:00:00;218;Genügend
04.09.1980;00:00:00;218;Genügend
05.09.1980;00:00:00;216;Genügend
06.09.1980;00:00:00;216;Genügend
07.09.1980;00:00:00;214;Genügend
08.09.1980;00:00:00;212;Genügend
09.09.1980;00:00:00;214;Genügend
10.09.1980;00:00:00;214;Genügend
11.09.1980;00:00:00;212;Genügend
12.09.1980;00:00:00;214;Genügend
13.09.1980;00:00:00;216;Genügend
14.09.1980;00:00:00;212;Genügend
15.09.1980;00:00:00;214;Genügend
16.09.1980;00:00:00;214;Genügend
17.09.1980;00:00:00;214;Genügend
18.09.1980;00:00:00;216;Genügend
19.09.1980;00:00:00;214;Genügend
20.09.1980;00:00:00;214;Genügend
21.09.1980;00:00:00;212;Genügend
22.09.1980;00:00:00;208;Genügend
23.09.1980;00:00:00;212;Genügend
24.09.1980;00:00:00;212;Genügend
25.09.1980;00:00:00;214;Genügend
26.09.1980;00:00:00;212;Genügend
27.09.1980;00:00:00;216;Genügend
28.09.1980;00:00:00;212;Genügend
29.09.1980;00:00:00;214;Genügend
30.09.1980;00:00:00;214;Genügend
01.10.1980;00:00:00;214;Genügend
02.10.1980;00:00:00;210;Genügend
03.10.1980;00:00:00;212;Genügend
04.10.1980;00:00:00;216;Genügend
05.10.1980;00:00:00;216;Genügend
06.10.1980;00:00:00;212;Genügend
07.10.1980;00:00:00;212;Genügend
08.10.1980;00:00:00;216;Genügend
09.10.1980;00:00:00;218;Genügend
10.10.1980;00:00:00;212;Genügend
11.10.1980;00:00:00;216;Genügend
12.10.1980;00:00:00;212;Genügend
13.10.1980;00:00:00;210;Genügend
14.10.1980;00:00:00;212;Genügend
15.10.1980;00:00:00;214;Genügend
16.10.1980;00:00:00;216;Genügend
17.10.1980;00:00:00;216;Genügend
18.10.1980;00:00:00;214;Genügend
19.10.1980;00:00:00;212;Genügend
20.10.1980;00:00:00;214;Genügend
21.10.1980;00:00:00;218;Genügend
22.10.1980;00:00:00;216;Genügend
23.10.1980;00:00:00;214;Genügend
24.10.1980;00:00:00;216;Genügend
25.10.1980;00:00:00;216;Genügend
26.10.1980;00:00:00;212;Genügend
27.10.1980;00:00:00;214;Genügend
28.10.1980;00:00:00;214;Genügend
29.10.1980;00:00:00;214;Genügend
30.10.1980;00:00:00;212;Genügend
31.10.1980;00:00:00;214;Genügend
01.11.1980;00:00:00;218;Genügend
02.11.1980;00:00:00;214;Genügend
03.11.1980;00:00:00;214;Genügend
04.11.1980;00:00:00;212;Genügend
05.11.1980;00:00:00;212;Genügend
06.11.1980;00:00:00;212;Genügend
07.11.1980;00:00:00;214;Genügend
08.11.1980;00:00:00;216;Genügend
09.11.1980;00:00:00;210;Genügend
10.11.1980;00:00:00;216;Genügend
11.11.1980;00:00:00;216;Genügend
12.11.1980;00:00:00;216;Genügend
13.11.1980;00:00:00;216;Genügend
14.11.1980;00:00:00;216;Genügend
15.11.1980;00:00:00;218;Genügend
16.11.1980;00:00:00;222;Genügend
17.11.1980;00:00:00;216;Genügend
18.11.1980;00:00:00;216;Genügend
19.11.1980;00:00:00;220;Genügend
20.11.1980;00:00:00;216;Genügend
21.11.1980;00:00:00;216;Genügend
22.11.1980;00:00:00;218;Genügend
23.11.1980;00:00:00;216;Genügend
24.11.1980;00:00:00;218;Genügend
25.11.1980;00:00:00;212;Genügend
26.11.1980;00:00:00;218;Genügend
27.11.1980;00:00:00;214;Genügend
28.11.1980;00:00:00;216;Genügend
29.11.1980;00:00:00;212;Genügend
30.11.1980;00:00:00;222;Genügend
01.12.1980;00:00:00;214;Genügend
02.12.1980;00:00:00;218;Genügend
03.12.1980;00:00:00;216;Genügend
04.12.1980;00:00:00;216;Genügend
05.12.1980;00:00:00;214;Genügend
06.12.1980;00:00:00;214;Genügend
07.12.1980;00:00:00;218;Genügend
08.12.1980;00:00:00;216;Genügend
09.12.1980;00:00:00;216;Genügend
10.12.1980;00:00:00;214;Genügend
11.12.1980;00:00:00;216;Genügend
12.12.1980;00:00:00;218;Genügend
13.12.1980;00:00:00;214;Genügend
14.12.1980;00:00:00;218;Genügend
15.12.1980;00:00:00;216;Genügend
16.12.1980;00:00:00;212;Genügend
17.12.1980;00:00:00;216;Genügend
18.12.1980;00:00:00;212;Genügend
19.12.1980;00:00:00;216;Genügend
